n test inserts deletes updates time
17 t12 1000 712 3900 7
17 t13 1000 275 3355 6
17 t14 1000 359 3741 6
17 t15 1000 341 3630 6
17 t16 1000 677 4016 8
17 t17 1000 636 4039 8
17 t18 1000 62 2412 4
17 t19 1000 628 4115 8
17 t1 1000 314 2778 4
17 t20 1000 386 3910 7
17 t2 1000 544 3274 5
17 t3 1000 371 3076 5
17 t4 1000 872 3510 6
17 t5 1000 362 3189 5
17 t6 1000 857 3725 7
17 t7 1000 746 3740 7
17 t8 1000 263 3144 5
17 t9 1000 800 3745 7
18 t10 1000 932 3840 7
18 t11 1000 993 3956 8
18 t12 1000 724 3899 7
18 t13 1000 271 3348 6
18 t14 1000 416 3848 7
18 t15 1000 332 3605 6
18 t16 1000 618 3988 7
18 t17 1000 653 4068 8
18 t18 1000 59 2370 4
18 t19 1000 606 4084 8
18 t1 1000 312 2764 4
18 t20 1000 394 3928 7
18 t2 1000 537 3269 5
18 t3 1000 390 3109 5
18 t4 1000 866 3512 6
18 t5 1000 384 3227 5
18 t6 1000 861 3719 7
18 t7 1000 748 3738 6
18 t8 1000 267 3162 5
18 t9 1000 812 3742 7
19 t10 1000 931 3844 7
19 t11 1000 992 3965 8
19 t12 1000 735 3915 7
19 t13 1000 268 3342 6
19 t14 1000 408 3827 7
19 t15 1000 329 3608 6
19 t16 1000 657 4006 7
19 t17 1000 644 4070 8
19 t18 1000 59 2361 4
19 t19 1000 600 4075 8
19 t1 1000 309 2752 4
19 t20 1000 395 3951 7
19 t2 1000 535 3272 5
19 t3 1000 402 3120 5
19 t4 1000 865 3508 6
19 t5 1000 369 3184 6
19 t6 1000 860 3735 7
19 t7 1000 749 3748 7
19 t8 1000 267 3157 5
19 t9 1000 809 3741 7
20 t10 1000 942 3863 7
20 t11 1000 992 3967 8
20 t12 1000 721 3906 7
20 t13 1000 265 3348 6
20 t14 1000 403 3817 7
20 t15 1000 327 3608 6
20 t16 1000 616 3981 7
20 t17 1000 666 4075 8
20 t18 1000 57 2331 4
20 t19 1000 613 4089 8
20 t1 1000 307 2754 4
20 t20 1000 461 4042 7
20 t2 1000 532 3264 5
20 t3 1000 399 3122 5
20 t4 1000 867 3508 6
20 t5 1000 367 3174 5
20 t6 1000 862 3726 7
20 t7 1000 748 3743 7
20 t8 1000 265 3158 5
20 t9 1000 813 3748 7
