n test inserts deletes updates time
4 t9 1000 835 3799 8
5 t10 1000 298 3292 6
5 t11 999 32 1449 2
5 t12 1000 662 3870 8
5 t13 1000 993 3981 8
5 t14 1000 783 4024 8
5 t15 1000 597 3969 8
5 t16 1000 947 4071 9
5 t17 1000 108 2876 5
5 t18 1000 119 2975 5
5 t19 1000 844 4317 9
5 t1 1000 859 3294 6
5 t20 1000 151 3266 6
5 t2 1000 825 3360 6
5 t3 1000 309 3059 5
5 t4 1000 874 3507 7
5 t5 966 22 828 1
5 t6 1000 369 3333 6
5 t7 1000 500 3461 6
5 t8 1000 431 3479 6
5 t9 1000 832 3775 7
6 t10 1000 285 3268 6
6 t11 1000 35 1558 2
6 t12 1000 662 3843 7
6 t13 1000 994 3980 8
6 t14 1000 787 4000 8
6 t15 1000 594 3950 8
6 t16 1000 948 4079 9
6 t17 1000 108 2879 5
6 t18 1000 111 2901 5
6 t19 1000 811 4317 9
6 t1 1000 848 3300 6
6 t20 1000 177 3389 6
6 t2 1000 823 3358 6
6 t3 1000 303 3052 5
6 t4 1000 872 3535 7
6 t5 966 22 814 1
6 t6 1000 366 3325 6
6 t7 1000 487 3443 6
6 t8 1000 476 3562 6
6 t9 1000 850 3771 7
7 t10 1000 288 3260 6
7 t11 999 34 1522 2
7 t12 1000 625 3837 7
7 t13 1000 993 3986 8
7 t14 1000 801 4028 8
7 t15 1000 611 3948 8
7 t16 1000 942 4061 9
7 t17 1000 102 2832 5
7 t18 1000 141 3095 6
7 t19 1000 825 4304 9
7 t1 1000 845 3298 6
7 t20 1000 164 3321 6
7 t2 1000 831 3359 6
7 t3 1000 302 3031 5
7 t4 1000 866 3526 6
7 t5 966 22 819 1
7 t6 1000 393 3367 6
7 t7 1000 474 3425 6
7 t8 1000 469 3548 6
7 t9 1000 851 3752 7
8 t10 1000 298 3317 6
8 t11 999 31 1424 2
8 t12 1000 663 3847 7
8 t13 1000 994 3970 8
8 t14 1000 797 4019 8
8 t15 1000 614 3961 8
8 t16 1000 945 4065 8
8 t17 1000 94 2772 5
8 t18 1000 133 3075 5
8 t19 1000 830 4338 9
8 t1 1000 859 3294 6
8 t20 1000 157 3303 6
8 t2 1000 827 3354 6
8 t3 1000 295 3000 5
8 t4 1000 873 3497 6
8 t5 966 22 822 1
8 t6 1000 381 3351 6
8 t7 1000 512 3464 6
8 t8 1000 447 3525 6
8 t9 1000 837 3771 7
9 t10 1000 283 3280 6
9 t11 999 31 1422 2
9 t12 1000 658 3852 7
9 t13 1000 993 3981 8
9 t14 1000 798 4019 8
9 t15 1000 620 3988 7
9 t16 1000 947 4092 8
9 t17 1000 92 2743 5
9 t18 1000 129 3060 5
9 t19 1000 831 4324 9
9 t1 1000 859 3304 6
9 t20 1000 151 3268 6
9 t2 1000 831 3358 6
9 t3 1000 314 3065 5
9 t4 1000 873 3518 6
9 t5 966 22 832 1
9 t6 1000 372 3317 6
9 t7 1000 509 3450 6
9 t8 1000 449 3507 6
9 t9 1000 848 3803 7
10 t10 1000 291 3301 6
10 t11 1000 39 1650 2
10 t12 1000 660 3848 7
10 t13 1000 993 3980 8
10 t14 1000 795 4023 8
10 t15 1000 647 4012 8
10 t16 1000 948 4087 8
10 t17 1000 109 2888 5
10 t18 1000 126 3039 5
10 t19 1000 840 4329 9
10 t1 1000 859 3285 6
10 t20 1000 178 3385 6
10 t2 1000 824 3351 6
10 t3 1000 311 3060 5
10 t4 1000 871 3525 6
10 t5 966 22 829 1
10 t6 1000 374 3315 6
10 t7 1000 506 3433 6
10 t8 1000 453 3498 6
10 t9 1000 845 3803 7
11 t10 1000 295 3303 6
11 t11 999 38 1622 2
11 t12 1000 649 3847 7
11 t13 1000 993 3985 8
11 t14 1000 796 4016 8
11 t15 1000 649 4004 8
11 t16 1000 941 4090 8
11 t17 1000 108 2894 5
11 t18 1000 126 3021 5
11 t19 1000 820 4320 9
11 t1 1000 845 3286 6
11 t20 1000 176 3374 6
11 t2 1000 829 3358 6
11 t3 1000 311 3071 5
11 t4 1000 865 3521 6
11 t5 966 22 827 1
11 t6 1000 373 3314 6
11 t7 1000 506 3446 6
11 t8 1000 455 3502 6
11 t9 1000 843 3814 7
12 t10 1000 295 3301 6
12 t11 999 37 1584 2
12 t12 1000 659 3850 7
12 t13 1000 993 3990 8
12 t14 1000 791 4021 8
12 t15 1000 650 3993 7
12 t16 1000 946 4080 8
12 t17 1000 107 2883 5
12 t18 1000 126 3026 5
12 t19 1000 817 4332 9
12 t1 1000 848 3298 6
12 t20 1000 174 3359 6
12 t2 1000 826 3354 6
12 t3 1000 308 3056 5
12 t4 1000 863 3514 6
12 t5 966 22 822 1
12 t6 1000 371 3310 6
12 t7 1000 503 3441 6
12 t8 1000 461 3503 6
12 t9 1000 840 3807 7
13 t10 1000 294 3292 5
13 t11 999 36 1562 2
13 t12 1000 657 3833 7
13 t13 1000 994 3983 8
13 t14 1000 792 4022 8
13 t15 1000 646 3969 7
13 t16 1000 941 4078 8
13 t17 1000 107 2880 5
13 t18 1000 128 3045 5
13 t19 1000 823 4330 9
13 t1 1000 856 3298 6
13 t20 1000 172 3361 6
13 t2 1000 824 3354 6
13 t3 1000 306 3051 5
13 t4 1000 868 3523 6
13 t5 966 22 820 1
13 t6 1000 367 3303 5
13 t7 1000 499 3425 6
13 t8 1000 459 3505 6
13 t9 1000 851 3790 7
14 t10 1000 293 3282 5
14 t11 999 36 1572 2
14 t12 1000 662 3836 7
14 t13 1000 994 3990 8
14 t14 1000 801 4029 8
14 t15 1000 640 3967 7
14 t16 1000 944 4072 8
14 t17 1000 106 2872 5
14 t18 1000 125 3028 5
14 t19 1000 815 4311 9
14 t1 1000 849 3301 6
14 t20 1000 172 3374 6
14 t2 1000 822 3346 6
14 t3 1000 310 3065 5
14 t4 1000 867 3524 6
14 t5 966 22 816 1
14 t6 1000 367 3317 6
14 t7 1000 495 3426 6
14 t8 1000 461 3512 6
14 t9 1000 841 3791 7
15 t10 1000 292 3276 5
15 t11 999 35 1542 2
15 t12 1000 663 3840 7
15 t13 1000 993 3988 8
15 t14 1000 798 4026 8
15 t15 1000 636 3962 8
15 t16 1000 943 4085 8
15 t17 1000 106 2872 5
15 t18 1000 128 3057 5
15 t19 1000 848 4329 9
15 t1 1000 846 3309 6
15 t20 1000 179 3407 6
15 t2 1000 824 3350 6
15 t3 1000 308 3054 5
15 t4 1000 877 3530 6
15 t5 966 22 816 1
15 t6 1000 366 3323 5
15 t7 1000 490 3430 6
15 t8 1000 461 3530 6
15 t9 1000 849 3773 7
16 t10 1000 290 3270 5
16 t11 999 35 1555 2
16 t12 1000 646 3834 7
16 t13 1000 993 3994 8
16 t14 1000 795 4021 8
16 t15 1000 636 3962 7
16 t16 1000 939 4074 8
16 t17 1000 106 2856 5
16 t18 1000 127 3046 5
16 t19 1000 845 4358 9
16 t1 1000 852 3306 6
16 t20 1000 173 3363 6
16 t2 1000 822 3361 6
16 t3 1000 306 3062 6
16 t4 1000 878 3531 6
16 t5 966 22 816 1
16 t6 1000 366 3323 5
16 t7 1000 485 3430 6
16 t8 1000 453 3518 6
16 t9 1000 840 3769 7
17 t10 1000 286 3273 5
17 t11 999 34 1522 2
17 t12 1000 651 3847 7
17 t13 1000 993 3991 8
17 t14 1000 794 4020 8
17 t15 1000 630 3974 7
17 t16 1000 939 4085 8
17 t17 1000 104 2841 5
17 t18 1000 127 3041 5
17 t19 1000 840 4350 9
17 t1 1000 841 3304 5
17 t20 1000 172 3356 6
17 t2 1000 822 3367 6
17 t3 1000 305 3046 5
17 t4 1000 865 3522 6
17 t5 966 22 815 1
17 t6 1000 364 3310 5
17 t7 1000 485 3435 6
17 t8 1000 474 3546 6
17 t9 1000 834 3776 7
18 t10 1000 301 3305 5
18 t11 999 34 1520 2
18 t12 1000 655 3867 7
18 t13 1000 994 3989 8
18 t14 1000 785 4014 8
18 t15 1000 622 3963 7
18 t16 1000 947 4086 8
18 t17 1000 102 2835 5
18 t18 1000 127 3058 5
18 t19 1000 841 4370 9
18 t1 1000 841 3302 6
18 t20 1000 172 3355 6
18 t2 1000 822 3373 6
18 t3 1000 307 3040 5
18 t4 1000 863 3524 6
18 t5 966 22 815 1
18 t6 1000 374 3342 6
18 t7 1000 476 3423 6
18 t8 1000 466 3535 6
18 t9 1000 840 3795 7
19 t10 1000 300 3316 6
19 t11 999 34 1514 2
19 t12 1000 642 3831 7
19 t13 1000 993 3986 8
19 t14 1000 803 4022 8
19 t15 1000 616 3957 7
19 t16 1000 941 4075 8
19 t17 1000 102 2840 5
19 t18 1000 126 3020 5
19 t19 1000 832 4348 9
19 t1 1000 850 3301 6
19 t20 1000 167 3335 6
19 t2 1000 823 3366 6
19 t3 1000 303 3037 5
19 t4 1000 867 3525 6
19 t5 966 22 817 1
19 t6 1000 393 3358 6
19 t7 1000 476 3429 6
19 t8 1000 467 3544 6
19 t9 1000 834 3773 7
20 t10 1000 292 3289 5
20 t11 999 34 1523 2
20 t12 1000 643 3836 7
20 t13 1000 994 3992 8
20 t14 1000 770 4003 8
20 t15 1000 623 3962 7
20 t16 1000 944 4062 8
20 t17 1000 102 2840 5
20 t18 1000 125 3005 5
20 t19 1000 813 4321 8
20 t1 1000 843 3298 5
20 t20 1000 167 3356 6
20 t2 1000 822 3362 6
20 t3 1000 303 3023 5
20 t4 1000 871 3541 6
20 t5 966 22 815 1
20 t6 1000 388 3367 6
20 t7 1000 470 3421 6
20 t8 1000 432 3489 6
20 t9 1000 831 3770 7
1 t10 1000 913 3803 30
1 t11 1000 418 3602 26
1 t12 1000 192 3049 20
1 t13 1000 774 3934 30
1 t14 1000 815 4051 32
1 t15 1000 637 3999 30
1 t16 1000 664 4188 31
1 t17 1000 370 3805 26
1 t18 1000 946 4255 33
1 t19 1000 305 3790 26
1 t1 1000 479 3018 23
1 t20 1000 255 3673 24
1 t2 1000 716 3414 26
1 t3 1000 78 1821 12
1 t4 1000 491 3326 24
1 t5 1000 835 3651 28
1 t6 1000 501 3488 25
1 t7 1000 596 3675 27
1 t8 1000 977 3765 29
1 t9 1000 80 2140 14
2 t10 1000 907 3779 9
2 t11 1000 438 3618 8
2 t12 1000 192 3044 7
2 t13 1000 770 3940 9
2 t14 1000 825 4048 9
2 t15 1000 582 3951 9
2 t16 1000 690 4188 9
2 t17 1000 379 3835 8
2 t18 1000 943 4247 10
2 t19 1000 286 3752 8
2 t1 1000 479 3016 6
2 t20 1000 258 3647 8
2 t2 1000 714 3410 7
2 t3 1000 76 1795 3
2 t4 1000 470 3338 7
2 t5 1000 843 3647 8
2 t6 1000 510 3499 7
2 t7 1000 596 3677 8
2 t8 1000 973 3754 8
2 t9 1000 85 2201 4
3 t10 1000 922 3804 8
3 t11 1000 450 3640 7
3 t12 1000 173 2951 6
3 t13 1000 754 3927 8
3 t14 1000 803 4022 9
3 t15 1000 617 3969 8
3 t16 1000 709 4206 9
3 t17 1000 340 3761 8
3 t18 1000 946 4247 10
3 t19 1000 295 3766 8
3 t1 1000 487 3026 6
3 t20 1000 271 3686 7
3 t2 1000 705 3408 6
3 t3 1000 76 1818 3
3 t4 1000 495 3330 6
3 t5 1000 849 3656 8
3 t6 1000 522 3493 7
3 t7 1000 588 3660 7
3 t8 1000 977 3744 8
3 t9 1000 80 2146 4
4 t10 1000 917 3794 8
4 t11 1000 450 3623 7
4 t12 1000 175 2979 5
4 t13 1000 752 3921 8
4 t14 1000 830 4045 8
4 t15 1000 608 3959 8
4 t16 1000 676 4180 9
4 t17 1000 377 3852 7
4 t18 1000 941 4243 9
4 t19 1000 273 3713 7
4 t1 1000 490 3023 5
4 t20 1000 255 3642 7
4 t2 1000 708 3396 6
4 t3 1000 75 1793 3
4 t4 1000 511 3360 6
4 t5 1000 834 3636 7
4 t6 1000 522 3485 7
4 t7 1000 593 3674 7
4 t8 1000 972 3753 8
4 t9 1000 82 2181 4
5 t10 1000 924 3799 8
5 t11 1000 461 3623 7
5 t12 1000 194 3064 6
5 t13 1000 788 3942 8
5 t14 1000 823 4065 9
5 t15 1000 608 3964 8
5 t16 1000 691 4189 8
5 t17 1000 363 3773 7
5 t18 1000 953 4256 9
5 t19 1000 284 3749 7
5 t1 1000 496 3047 5
5 t20 1000 227 3575 7
5 t2 1000 713 3430 6
5 t3 1000 72 1750 3
5 t4 1000 491 3324 6
5 t5 1000 839 3644 7
5 t6 1000 495 3487 6
5 t7 1000 595 3663 7
5 t8 1000 972 3771 8
5 t9 1000 80 2157 4
6 t10 1000 907 3792 8
6 t11 1000 462 3641 7
6 t12 1000 188 3023 5
6 t13 1000 784 3944 8
6 t14 1000 824 4028 8
6 t15 1000 631 3987 8
6 t16 1000 681 4176 8
6 t17 1000 353 3783 7
6 t18 1000 948 4250 9
6 t19 1000 280 3717 7
6 t1 1000 490 3054 5
6 t20 1000 255 3628 7
6 t2 1000 715 3412 6
6 t3 1000 76 1817 3
6 t4 1000 508 3356 6
6 t5 1000 832 3643 7
6 t6 1000 513 3514 6
6 t7 1000 592 3646 7
6 t8 1000 972 3757 7
6 t9 1000 78 2126 3
7 t10 1000 905 3787 8
7 t11 1000 459 3634 7
7 t12 1000 189 3052 5
7 t13 1000 781 3950 8
7 t14 1000 820 4036 8
7 t15 1000 606 3961 8
7 t16 1000 699 4176 8
7 t17 1000 372 3851 7
7 t18 1000 952 4237 9
7 t19 1000 283 3732 7
7 t1 1000 487 3034 5
7 t20 1000 242 3607 7
7 t2 1000 712 3401 6
7 t3 1000 74 1786 3
7 t4 1000 505 3367 6
7 t5 1000 831 3642 7
